Franchise,Merchandise,Video Games,Card Games,Box Office,Books/Mangas,Home Entertainement (w/ TV),Music,Retail (unattributed or licensing),Museum,Stage Play,Pachinko,TV
Pokemon,64100,17138,10853,1756,1460,863,0,0,0,0,0,0
Hello Kitty,80000,0,0,0,23,0,3,0,0,0,0,0
Winnie The Pooh,0,0,0,460,0,59,0,74515,0,0,0,0
Mickey Mouse,0,0,0,457,0,280,0,69850,0,0,0,0
Star Wars,40294,4964,0,9491,1820,9337,0,0,0,0,0,0
Anpanman,0,0,0,67,0,0,0,60193,25,0,0,0
Disney Princesses,0,0,0,0,0,42,0,44645,0,0,0,0
Shonen Jump,0,217,0,0,39714,0,0,0,0,0,0,0
Mario,4323,30250,0,21,1549,0,0,0,0,0,0,0
Marvel Universe,5430,0,0,22535,0.5,5254,0,0,0,0,0,0
Harry Potter,7308,1555,0,9191,7743,3966,0,0,0,108,0,0
Spider-Man,14805,1650,0,7059,1074,2074,0,0,0,212,308,880
Gundam,0,0,0,140,200,0,0,25932,0,0,185,0
Batman,0,0,0,4994,0,1212,0,18990,0,0,0,40
Dragon Ball,5737,5585,961,817,9250,1943,47,0,0,0,0,0
Barbie,22010,0,0,5100,0,1988,0,0,0,0,0,0
Fist of the North Star,26,373,0,32,3748,37,0,0,0,0,17602,0
Cars,19114,0,0,2026,0,654,0,0,0,0,0,0
One Piece,5904,1627,0,433,11432,1187,0,0,0,0,0,0
Toy Story,17100,0,0,2841,0,540,0,0,0,0,0,0
Yu-Gi-Oh!,4477,329,11161,42,3820,0,0,0,0,0,0,152
Lord of the Rings,435,62,0,5896,9125,4194,0,225,0,0,0,0
James Bond,3060,351,0,7078,550,3060,0,0,0,0,0,0
Peanuts,17143,0,0,250,0,35,0,0,0,0,0,0
Transformers,11780,0,0,4700,0,740,0,0,0,0,0,0
Call of Duty,0,17000,0,0,0,0,0,0,0,0,0,0
